#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1062	1044	1063	1045	1045	1045	1045	1045	17	18
1062	1044	1063	1045	1045	1045	1046	1046	17	18
1062	1044	1063	1045	1063	1063	1045	1045	17	12
1062	1044	1063	1045	1063	1063	1046	1046	17	12
1062	1062	1063	1063	1063	1063	1045	1045	17	4
1062	1062	1063	1063	1063	1063	1046	1046	17	4
1027	1009	1027	1009	1027	1027	1010	1010	18	57
1027	1009	1027	1009	1028	1028	1010	1010	18	57
1027	1027	1027	1027	1027	1027	1010	1010	18	52
1027	1027	1027	1027	1027	1027	1028	1028	18	46
1027	1027	1027	1027	1028	1028	1010	1010	18	52
1027	1027	1027	1027	1028	1028	1028	1028	18	46
1045	1027	1045	1027	1027	1027	1028	1028	18	41
1045	1027	1045	1027	1028	1028	1028	1028	18	41
1045	1027	1045	1027	1045	1045	1028	1028	18	35
1045	1027	1045	1027	1046	1046	1028	1028	18	35
1045	1045	1045	1045	1045	1045	1028	1028	18	29
1045	1045	1045	1045	1045	1045	1046	1046	18	24
1045	1045	1045	1045	1046	1046	1028	1028	18	29
1045	1045	1045	1045	1046	1046	1046	1046	18	24
1063	1045	1063	1045	1045	1045	1046	1046	18	18
1063	1045	1063	1045	1046	1046	1046	1046	18	18
1063	1045	1063	1045	1063	1063	1046	1046	18	12
1063	1045	1063	1045	1064	1064	1046	1046	18	12
1063	1063	1063	1063	1063	1063	1046	1046	18	4
1063	1063	1063	1063	1064	1064	1046	1046	18	4
1027	1009	1028	1010	1028	1028	1010	1010	19	57
1027	1009	1028	1010	1028	1028	1011	1011	19	57
1027	1027	1028	1028	1028	1028	1010	1010	19	52
1027	1027	1028	1028	1028	1028	1011	1011	19	52
1027	1027	1028	1028	1028	1028	1028	1028	19	46
1027	1027	1028	1028	1028	1028	1029	1029	19	46
1045	1027	1046	1028	1028	1028	1028	1028	19	41
1045	1027	1046	1028	1028	1028	1029	1029	19	41
1045	1027	1046	1028	1046	1046	1028	1028	19	35
1045	1027	1046	1028	1046	1046	1029	1029	19	35
1045	1045	1046	1046	1046	1046	1028	1028	19	29
1045	1045	1046	1046	1046	1046	1029	1029	19	29
1045	1045	1046	1046	1046	1046	1046	1046	19	24
1045	1045	1046	1046	1046	1046	1047	1047	19	24
1063	1045	1064	1046	1046	1046	1046	1046	19	18
1063	1045	1064	1046	1046	1046	1047	1047	19	18
1063	1045	1064	1046	1064	1064	1046	1046	19	12
1063	1045	1064	1046	1064	1064	1047	1047	19	12
1063	1063	1064	1064	1064	1064	1046	1046	19	4
1063	1063	1064	1064	1064	1064	1047	1047	19	4
1028	1010	1028	1010	1028	1028	1011	1011	20	57
1028	1010	1028	1010	1029	1029	1011	1011	20	57
1028	1028	1028	1028	1028	1028	1011	1011	20	52
1028	1028	1028	1028	1028	1028	1029	1029	20	46
1028	1028	1028	1028	1029	1029	1011	1011	20	52
1028	1028	1028	1028	1029	1029	1029	1029	20	46
1046	1028	1046	1028	1028	1028	1029	1029	20	41
1046	1028	1046	1028	1029	1029	1029	1029	20	41
1046	1028	1046	1028	1046	1046	1029	1029	20	35
1046	1028	1046	1028	1047	1047	1029	1029	20	35
1046	1046	1046	1046	1046	1046	1029	1029	20	29
1046	1046	1046	1046	1046	1046	1047	1047	20	24
1046	1046	1046	1046	1047	1047	1029	1029	20	29
1046	1046	1046	1046	1047	1047	1047	1047	20	24
1064	1046	1064	1046	1046	1046	1047	1047	20	18
1064	1046	1064	1046	1047	1047	1047	1047	20	18
1064	1046	1064	1046	1064	1064	1047	1047	20	12
1064	1046	1064	1046	1065	1065	1047	1047	20	12
1064	1064	1064	1064	1064	1064	1047	1047	20	4
1064	1064	1064	1064	1065	1065	1047	1047	20	4
1028	1010	1029	1011	1029	1029	1011	1011	21	57
1028	1010	1029	1011	1029	1029	1012	1012	21	57
1028	1028	1029	1029	1029	1029	1011	1011	21	52
1028	1028	1029	1029	1029	1029	1012	1012	21	52
1028	1028	1029	1029	1029	1029	1029	1029	21	46
1028	1028	1029	1029	1029	1029	1030	1030	21	46
1046	1028	1047	1029	1029	1029	1029	1029	21	41
1046	1028	1047	1029	1029	1029	1030	1030	21	41
1046	1028	1047	1029	1047	1047	1029	1029	21	35
1046	1028	1047	1029	1047	1047	1030	1030	21	35
1046	1046	1047	1047	1047	1047	1029	1029	21	29
1046	1046	1047	1047	1047	1047	1030	1030	21	29
1046	1046	1047	1047	1047	1047	1047	1047	21	24
1046	1046	1047	1047	1047	1047	1048	1048	21	24
